
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
3.51545,3.51545,3.51545,µm,Spot,Diameter,10,1000221333,279067,
4.21794,4.21794,4.21794,µm,Spot,Diameter,10,1000136105,280223,
3.89834,3.89834,3.89834,µm,Spot,Diameter,10,1000165097,280477,
3.02378,3.02378,3.02378,µm,Spot,Diameter,10,1000224234,281995,
3.28799,3.28799,3.28799,µm,Spot,Diameter,10,1000224241,282000,
1.58071,1.58071,1.58071,µm,Spot,Diameter,10,1000019405,282050,
3.6189,3.6189,3.6189,µm,Spot,Diameter,10,1000224431,282196,
4.06442,4.06442,4.06442,µm,Spot,Diameter,10,1000135496,282272,
2.50922,2.50922,2.50922,µm,Spot,Diameter,10,1000282540,282540,
3.71676,3.71676,3.71676,µm,Spot,Diameter,10,1000196023,282594,
1.58071,1.58071,1.58071,µm,Spot,Diameter,10,1000253547,282661,
3.40552,3.40552,3.40552,µm,Spot,Diameter,10,1000282868,282868,
4.1426,4.1426,4.1426,µm,Spot,Diameter,10,1000138478,283029,
3.28799,3.28799,3.28799,µm,Spot,Diameter,10,1000080712,283031,
