
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
34,,Spot,2,Image 1,13,1000338312,367314,
251,,Spot,2,Image 1,13,1000165097,368149,
39,,Spot,2,Image 1,13,1000224234,369566,
22,,Spot,2,Image 1,13,1000224431,369729,
0,,Spot,2,Image 1,13,1000196023,369764,
0,,Spot,2,Image 1,13,1000253547,369823,
4,,Spot,2,Image 1,13,1000282540,370059,
0,,Spot,2,Image 1,13,1000080712,370551,
35,,Spot,2,Image 1,13,1000282868,370670,
0,,Spot,2,Image 1,13,1000196749,370869,
0,,Spot,2,Image 1,13,1000312915,371100,
0,,Spot,2,Image 1,13,1000111173,371189,
0,,Spot,2,Image 1,13,1000371442,371442,
7,,Spot,2,Image 1,13,1000226383,371745,
0,,Spot,2,Image 1,13,1000027048,372095,
0,,Spot,2,Image 1,13,1000373068,373068,
3,,Spot,2,Image 1,13,1000026374,373583,
81,,Spot,2,Image 1,13,1000026660,373869,
23,,Spot,2,Image 1,13,1000199932,373973,
0,,Spot,2,Image 1,13,1000257305,373980,
0,,Spot,2,Image 1,13,1000024512,374152,
37,,Spot,2,Image 1,13,1000260417,376655,
2,,Spot,2,Image 1,13,1000260594,377159,
0,,Spot,2,Image 1,13,1000145899,377817,
0,,Spot,2,Image 1,13,1000232501,377823,
0,,Spot,2,Image 1,13,1000290426,377828,
60,,Spot,2,Image 1,14,1000290900,378365,
0,,Spot,2,Image 1,14,1000320447,378573,
0,,Spot,2,Image 1,14,1000178867,379911,
26,,Spot,2,Image 1,14,1000034728,381380,
0,,Spot,2,Image 1,14,1000354440,383368,
0,,Spot,2,Image 1,14,1000354480,383405,
139,,Spot,2,Image 1,14,1000327258,385098,
210,,Spot,2,Image 1,14,1000385100,385100,
56,,Spot,2,Image 1,14,1000008102,385535,
45,,Spot,2,Image 1,14,1000244446,389772,
38,,Spot,2,Image 1,14,1000014633,391286,
200,,Spot,2,Image 1,14,1000275823,392500,
0,,Spot,2,Image 1,14,1000218062,392581,
49,,Spot,2,Image 1,14,1000221333,395328,
0,,Spot,2,Image 1,14,1000278844,395431,
13,,Spot,2,Image 1,14,1000224234,395980,
