
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,19,1000019324,19478,
1,,Surface,19,1000019361,19479,
1,,Surface,19,1000018759,19480,
1,,Surface,19,1000019114,19481,
1,,Surface,19,1000019405,19482,
1,,Surface,19,1000018762,19483,
1,,Surface,19,1000019216,19484,
1,,Surface,19,1000018764,19485,
1,,Surface,19,1000019486,19486,
1,,Surface,19,1000018766,19487,
1,,Surface,19,1000019297,19488,
1,,Surface,19,1000018799,19489,
1,,Surface,19,1000019450,19490,
1,,Surface,19,1000019491,19491,
1,,Surface,19,1000019412,19492,
1,,Surface,19,1000019152,19493,
1,,Surface,19,1000018770,19494,
1,,Surface,19,1000019150,19495,
1,,Surface,19,1000019340,19496,
1,,Surface,19,1000019180,19497,
1,,Surface,19,1000019133,19498,
1,,Surface,19,1000019087,19499,
1,,Surface,19,1000018773,19500,
1,,Surface,19,1000019310,19501,
1,,Surface,19,1000018774,19502,
1,,Surface,19,1000019049,19503,
1,,Surface,19,1000019465,19504,
1,,Surface,19,1000019350,19505,
1,,Surface,19,1000018776,19506,
1,,Surface,19,1000019353,19507,
1,,Surface,19,1000019354,19508,
1,,Surface,20,1000019491,19509,
1,,Surface,20,1000019412,19510,
1,,Surface,20,1000019064,19511,
